borough_gss,borough_name,year,population
E09000015,Harrow,2014,251618
E09000015,Harrow,2015,255308
E09000015,Harrow,2016,257317
E09000015,Harrow,2017,257881
E09000015,Harrow,2018,259861
E09000015,Harrow,2019,262065
E09000015,Harrow,2020,262281
E09000015,Harrow,2021,261159
E09000015,Harrow,2022,261798
E09000015,Harrow,2023,266891
E09000015,Harrow,2024,270724
E09000016,Havering,2011,237927
E09000016,Havering,2012,239946
E09000016,Havering,2013,242550
E09000016,Havering,2014,246771
E09000016,Havering,2015,250449
E09000016,Havering,2016,254487
E09000016,Havering,2017,257429
E09000016,Havering,2018,259229
E09000016,Havering,2019,261296
E09000016,Havering,2020,261906
E09000016,Havering,2021,262086
E09000016,Havering,2022,264786
E09000016,Havering,2023,270305
E09000016,Havering,2024,276274
E09000017,Hillingdon,2011,275499
E09000017,Hillingdon,2012,281263
E09000017,Hillingdon,2013,285982
E09000017,Hillingdon,2014,290225
E09000017,Hillingdon,2015,294011
E09000017,Hillingdon,2016,297451
E09000017,Hillingdon,2017,299469
E09000017,Hillingdon,2018,302263
E09000017,Hillingdon,2019,305641
E09000017,Hillingdon,2020,306460
E09000017,Hillingdon,2021,305107
E09000017,Hillingdon,2022,312162
E09000017,Hillingdon,2023,321977
E09000017,Hillingdon,2024,329185
E09000018,Hounslow,2011,254927
E09000018,Hounslow,2012,260584
E09000018,Hounslow,2013,265547
E09000018,Hounslow,2014,270773
E09000018,Hounslow,2015,275097
E09000018,Hounslow,2016,278601
E09000018,Hounslow,2017,281117
E09000018,Hounslow,2018,285430
E09000018,Hounslow,2019,289652
E09000018,Hounslow,2020,289773
E09000018,Hounslow,2021,288164
E09000018,Hounslow,2022,289196
E09000018,Hounslow,2023,295221
E09000018,Hounslow,2024,299424
E09000019,Islington,2011,206285
E09000019,Islington,2012,208762
E09000019,Islington,2013,212604
E09000019,Islington,2014,214986
E09000019,Islington,2015,218255
E09000019,Islington,2016,220620
E09000019,Islington,2017,221535
E09000019,Islington,2018,221453
E09000019,Islington,2019,221994
E09000019,Islington,2020,221018
E09000019,Islington,2021,217050
E09000019,Islington,2022,219769
E09000019,Islington,2023,222333
E09000019,Islington,2024,223024
E09000020,Kensington and Chelsea,2011,158251
E09000020,Kensington and Chelsea,2012,157240
E09000020,Kensington and Chelsea,2013,156823
E09000020,Kensington and Chelsea,2014,156178
E09000020,Kensington and Chelsea,2015,156149
E09000020,Kensington and Chelsea,2016,152708
E09000020,Kensington and Chelsea,2017,149651
E09000020,Kensington and Chelsea,2018,148471
E09000020,Kensington and Chelsea,2019,146805
E09000020,Kensington and Chelsea,2020,144874
E09000020,Kensington and Chelsea,2021,144266
E09000020,Kensington and Chelsea,2022,146336
E09000020,Kensington and Chelsea,2023,146499
E09000020,Kensington and Chelsea,2024,144518
E09000021,Kingston upon Thames,2011,160436
E09000021,Kingston upon Thames,2012,162562
E09000021,Kingston upon Thames,2013,164418
E09000021,Kingston upon Thames,2014,165791
E09000021,Kingston upon Thames,2015,167594
E09000021,Kingston upon Thames,2016,168617
E09000021,Kingston upon Thames,2017,168781
E09000021,Kingston upon Thames,2018,168729
E09000021,Kingston upon Thames,2019,169797
E09000021,Kingston upon Thames,2020,169770
E09000021,Kingston upon Thames,2021,167992
E09000021,Kingston upon Thames,2022,169076
E09000021,Kingston upon Thames,2023,170780
E09000021,Kingston upon Thames,2024,172692
E09000022,Lambeth,2011,304481
E09000022,Lambeth,2012,310449
E09000022,Lambeth,2013,314375
E09000022,Lambeth,2014,318196
E09000022,Lambeth,2015,322881
E09000022,Lambeth,2016,326613
E09000022,Lambeth,2017,327227
E09000022,Lambeth,2018,328923
E09000022,Lambeth,2019,329513
E09000022,Lambeth,2020,325527
E09000022,Lambeth,2021,317691
E09000022,Lambeth,2022,317657
E09000022,Lambeth,2023,318738
E09000022,Lambeth,2024,316920
E09000023,Lewisham,2011,276938
E09000023,Lewisham,2012,281011
E09000023,Lewisham,2013,286056
E09000023,Lewisham,2014,291086
E09000023,Lewisham,2015,295364
E09000023,Lewisham,2016,298809
E09000023,Lewisham,2017,300924
E09000023,Lewisham,2018,303127
E09000023,Lewisham,2019,305906
E09000023,Lewisham,2020,304169
E09000023,Lewisham,2021,300013
E09000023,Lewisham,2022,299164
E09000023,Lewisham,2023,300225
E09000023,Lewisham,2024,301255
E09000024,Merton,2011,200543
E09000024,Merton,2012,205166
E09000024,Merton,2013,208529
E09000024,Merton,2014,211025
E09000024,Merton,2015,213791
E09000024,Merton,2016,215514
E09000024,Merton,2017,215431
E09000024,Merton,2018,216171
E09000024,Merton,2019,217219
E09000024,Merton,2020,217101
E09000024,Merton,2021,215426
E09000024,Merton,2022,215105
E09000024,Merton,2023,217135
E09000024,Merton,2024,218539
E09000025,Newham,2011,310460
E09000025,Newham,2012,313750
E09000025,Newham,2013,316952
E09000025,Newham,2014,322984
E09000025,Newham,2015,330322
E09000025,Newham,2016,335337
E09000025,Newham,2017,338333
E09000025,Newham,2018,344570
E09000025,Newham,2019,349786
E09000025,Newham,2020,350025
E09000025,Newham,2021,351256
E09000025,Newham,2022,357327
E09000025,Newham,2023,368194
E09000025,Newham,2024,374523
E09000026,Redbridge,2011,281395
E09000026,Redbridge,2012,285437
E09000026,Redbridge,2013,289976
E09000026,Redbridge,2014,295837
E09000026,Redbridge,2015,301022
E09000026,Redbridge,2016,304369
E09000026,Redbridge,2017,305937
E09000026,Redbridge,2018,308841
E09000026,Redbridge,2019,311780
E09000026,Redbridge,2020,311750
E09000026,Redbridge,2021,310130
E09000026,Redbridge,2022,311629
E09000026,Redbridge,2023,316556
E09000026,Redbridge,2024,321231
E09000027,Richmond upon Thames,2011,187527
E09000027,Richmond upon Thames,2012,189934
E09000027,Richmond upon Thames,2013,192375
E09000027,Richmond upon Thames,2014,194492
E09000027,Richmond upon Thames,2015,194966
E09000027,Richmond upon Thames,2016,196293
E09000027,Richmond upon Thames,2017,196849
E09000027,Richmond upon Thames,2018,197119
E09000027,Richmond upon Thames,2019,198185
E09000027,Richmond upon Thames,2020,197797
E09000027,Richmond upon Thames,2021,195315
E09000027,Richmond upon Thames,2022,195295
E09000027,Richmond upon Thames,2023,196061
E09000027,Richmond upon Thames,2024,196678
E09000028,Southwark,2011,288717
E09000028,Southwark,2012,293078
E09000028,Southwark,2013,297868
E09000028,Southwark,2014,299685
E09000028,Southwark,2015,304048
E09000028,Southwark,2016,306720
E09000028,Southwark,2017,307640
E09000028,Southwark,2018,310492
E09000028,Southwark,2019,312591
E09000028,Southwark,2020,312055
E09000028,Southwark,2021,306762
E09000028,Southwark,2022,309327
E09000028,Southwark,2023,313485
E09000028,Southwark,2024,314786
E09000029,Sutton,2011,191123
E09000029,Sutton,2012,193982
E09000029,Sutton,2013,196678
E09000029,Sutton,2014,199144
E09000029,Sutton,2015,201208
E09000029,Sutton,2016,203299
E09000029,Sutton,2017,204824
E09000029,Sutton,2018,206286
E09000029,Sutton,2019,208516
E09000029,Sutton,2020,209921
E09000029,Sutton,2021,209617
E09000029,Sutton,2022,210369
E09000029,Sutton,2023,212336
E09000029,Sutton,2024,214525
E09000030,Tower Hamlets,2011,256012
E09000030,Tower Hamlets,2012,261936
E09000030,Tower Hamlets,2013,270294
E09000030,Tower Hamlets,2014,277060
E09000030,Tower Hamlets,2015,282674
E09000030,Tower Hamlets,2016,289011
E09000030,Tower Hamlets,2017,293526
E09000030,Tower Hamlets,2018,300050
E09000030,Tower Hamlets,2019,305066
E09000030,Tower Hamlets,2020,306780
E09000030,Tower Hamlets,2021,312715
E09000030,Tower Hamlets,2022,324881
E09000030,Tower Hamlets,2023,329143
E09000030,Tower Hamlets,2024,331886
E09000031,Waltham Forest,2011,259742
E09000031,Waltham Forest,2012,263575
E09000031,Waltham Forest,2013,267963
E09000031,Waltham Forest,2014,270606
E09000031,Waltham Forest,2015,274579
E09000031,Waltham Forest,2016,277081
E09000031,Waltham Forest,2017,278105
E09000031,Waltham Forest,2018,279795
E09000031,Waltham Forest,2019,281015
E09000031,Waltham Forest,2020,279527
E09000031,Waltham Forest,2021,278147
E09000031,Waltham Forest,2022,275847
E09000031,Waltham Forest,2023,278506
E09000031,Waltham Forest,2024,279737
E09000032,Wandsworth,2011,307710
E09000032,Wandsworth,2012,312262
E09000032,Wandsworth,2013,316810
E09000032,Wandsworth,2014,319898
E09000032,Wandsworth,2015,322658
E09000032,Wandsworth,2016,326413
E09000032,Wandsworth,2017,329493
E09000032,Wandsworth,2018,331069
E09000032,Wandsworth,2019,334558
E09000032,Wandsworth,2020,333678
E09000032,Wandsworth,2021,328429
E09000032,Wandsworth,2022,330447
E09000032,Wandsworth,2023,333859
E09000032,Wandsworth,2024,337655
E09000033,Westminster,2011,219582
E09000033,Westminster,2012,219539
E09000033,Westminster,2013,215907
E09000033,Westminster,2014,214341
E09000033,Westminster,2015,215876
E09000033,Westminster,2016,213193
E09000033,Westminster,2017,210459
E09000033,Westminster,2018,209868
E09000033,Westminster,2019,208415
E09000033,Westminster,2020,205624
E09000033,Westminster,2021,205759
E09000033,Westminster,2022,209333
E09000033,Westminster,2023,210665
E09000033,Westminster,2024,209996
